Order_ID,Order_Date,Product,Quantity,Sale_Price,Cost_Price,Month,Year,Profit,Profit_Margin
ORD-0,2023-04-13,Mobile,2,2000.0,10934,4,2023,-8934.0,-446.7
ORD-4,2023-04-17,Shirt,1,50000.0,9722,4,2023,40278.0,80.56
ORD-5,2023-03-13,Mobile,1,30000.0,3120,3,2023,26880.0,89.6
ORD-6,2023-07-08,Shoes,1,30000.0,31089,7,2023,-1089.0,-3.63
ORD-8,2023-04-13,Mobile,2,50000.0,6877,4,2023,43123.0,86.25
ORD-9,2023-05-02,Mobile,1,30000.0,19904,5,2023,10096.0,33.65
ORD-10,2024-04-11,Shirt,1,2000.0,21792,4,2024,-19792.0,-989.6
ORD-11,2023-08-03,Shoes,1,2000.0,27037,8,2023,-25037.0,-1251.85
ORD-12,2023-11-27,Mobile,3,2000.0,18335,11,2023,-16335.0,-816.75
ORD-13,2024-04-03,Shirt,1,30000.0,15659,4,2024,14341.0,47.8
ORD-15,2024-01-08,Shoes,1,2000.0,1964,1,2024,36.0,1.8
ORD-17,2023-12-26,Laptop,1,50000.0,36012,12,2023,13988.0,27.98
ORD-18,2023-06-01,Laptop,1,2000.0,36571,6,2023,-34571.0,-1728.55
ORD-19,2023-05-11,Mobile,2,50000.0,4911,5,2023,45089.0,90.18
ORD-21,2023-11-05,Mobile,1,30000.0,2408,11,2023,27592.0,91.97
ORD-23,2023-12-10,Laptop,1,2000.0,21977,12,2023,-19977.0,-998.85
ORD-24,2024-05-06,Shirt,3,2000.0,14195,5,2024,-12195.0,-609.75
ORD-26,2023-10-21,Mobile,3,2000.0,23761,10,2023,-21761.0,-1088.05
ORD-27,2024-01-21,Shoes,2,2000.0,25992,1,2024,-23992.0,-1199.6
ORD-28,2023-07-11,Shoes,1,50000.0,14778,7,2023,35222.0,70.44
ORD-29,2024-03-19,Shoes,2,30000.0,22985,3,2024,7015.0,23.38
ORD-31,2023-06-10,Shoes,3,50000.0,11786,6,2023,38214.0,76.43
ORD-32,2024-04-04,Mobile,1,2000.0,31908,4,2024,-29908.0,-1495.4
ORD-33,2023-11-10,Shoes,1,50000.0,12051,11,2023,37949.0,75.9
ORD-34,2023-01-22,Laptop,1,30000.0,37746,1,2023,-7746.0,-25.82
ORD-36,2023-08-24,Shirt,1,30000.0,5490,8,2023,24510.0,81.7
ORD-37,2023-12-11,Laptop,2,30000.0,32313,12,2023,-2313.0,-7.71
ORD-38,2023-02-18,Laptop,1,50000.0,7377,2,2023,42623.0,85.25
ORD-39,2024-04-19,Laptop,1,50000.0,10903,4,2024,39097.0,78.19
ORD-40,2023-02-28,Shirt,2,30000.0,15567,2,2023,14433.0,48.11
ORD-41,2023-06-19,Mobile,3,2000.0,23885,6,2023,-21885.0,-1094.25
ORD-43,2023-07-07,Laptop,1,2000.0,27606,7,2023,-25606.0,-1280.3
ORD-44,2024-04-08,Laptop,1,2000.0,18440,4,2024,-16440.0,-822.0
ORD-46,2023-07-09,Mobile,1,50000.0,31267,7,2023,18733.0,37.47
ORD-47,2024-03-21,Mobile,2,2000.0,28002,3,2024,-26002.0,-1300.1
ORD-48,2023-06-24,Shirt,3,50000.0,17833,6,2023,32167.0,64.33
ORD-50,2023-02-20,Shoes,1,2000.0,11518,2,2023,-9518.0,-475.9
ORD-51,2023-12-30,Shirt,2,50000.0,13501,12,2023,36499.0,73.0
ORD-52,2023-02-24,Shirt,1,50000.0,23254,2,2023,26746.0,53.49
ORD-53,2023-09-01,Shoes,1,2000.0,35076,9,2023,-33076.0,-1653.8
ORD-55,2023-05-11,Shoes,1,30000.0,34485,5,2023,-4485.0,-14.95
ORD-56,2024-04-29,Shirt,1,50000.0,26545,4,2024,23455.0,46.91
ORD-58,2023-05-15,Shirt,1,2000.0,16370,5,2023,-14370.0,-718.5
ORD-59,2023-01-21,Shoes,1,50000.0,29231,1,2023,20769.0,41.54
ORD-60,2023-11-25,Shoes,2,50000.0,10642,11,2023,39358.0,78.72
ORD-61,2023-06-16,Laptop,1,50000.0,18839,6,2023,31161.0,62.32
ORD-63,2024-01-23,Laptop,1,50000.0,8035,1,2024,41965.0,83.93
ORD-64,2023-03-30,Shoes,1,50000.0,34299,3,2023,15701.0,31.4
ORD-65,2023-11-12,Shirt,1,2000.0,36035,11,2023,-34035.0,-1701.75
ORD-66,2023-01-14,Shoes,3,50000.0,24583,1,2023,25417.0,50.83
ORD-68,2023-09-22,Laptop,1,2000.0,17130,9,2023,-15130.0,-756.5
ORD-69,2023-12-12,Laptop,3,30000.0,14736,12,2023,15264.0,50.88
ORD-70,2023-02-22,Shirt,2,2000.0,14815,2,2023,-12815.0,-640.75
ORD-71,2024-01-21,Laptop,1,50000.0,25396,1,2024,24604.0,49.21
ORD-72,2023-12-06,Laptop,3,30000.0,25312,12,2023,4688.0,15.63
ORD-73,2023-04-02,Shoes,1,2000.0,13244,4,2023,-11244.0,-562.2
ORD-74,2024-01-02,Laptop,2,50000.0,12718,1,2024,37282.0,74.56
ORD-75,2024-03-19,Laptop,3,2000.0,17784,3,2024,-15784.0,-789.2
ORD-77,2024-03-03,Shirt,3,50000.0,32428,3,2024,17572.0,35.14
ORD-79,2024-03-06,Shoes,1,50000.0,27490,3,2024,22510.0,45.02
ORD-81,2023-07-25,Shirt,1,30000.0,36386,7,2023,-6386.0,-21.29
ORD-83,2024-02-24,Shoes,1,2000.0,25011,2,2024,-23011.0,-1150.55
ORD-84,2023-02-19,Mobile,1,50000.0,8042,2,2023,41958.0,83.92
ORD-85,2023-12-26,Laptop,2,2000.0,26286,12,2023,-24286.0,-1214.3
ORD-87,2023-01-02,Shoes,2,50000.0,27999,1,2023,22001.0,44.0
ORD-89,2023-02-23,Shoes,3,30000.0,13952,2,2023,16048.0,53.49
ORD-90,2023-04-16,Shirt,1,30000.0,17240,4,2023,12760.0,42.53
